 Ensembl 	HGNC	N1H1_Pool_1	N1H1_Pool_2	N1H1_Pool_3	P1A8_Pool_1	P1A8_Pool_2	P1A8_Pool_3
SLC17A5	SLC17A5	2232	1916	1837	2014	2025	2376
OGFRL1	OGFRL1	2799	2064	2552	3121	3528	4368
SLF2	FAM178A	3266	2718	2833	3116	3438	4088
IDE	IDE	1550	1195	1533	1404	1492	1851
TECTB	TECTB	0	0	0	0	0	0
ELOVL3	ELOVL3	1	3	2	14	3	10
IFIT3	IFIT3	650	519	680	8182	9183	12121
NKX2-3	NKX2-3	0	0	0	0	0	0
IFIT2	IFIT2	282	242	297	2113	2377	2830
GPAM	GPAM	889	805	755	774	784	965
CUTC	CUTC	468	427	440	380	417	468
PPP1R3C	PPP1R3C	3561	3394	3092	574	474	503
PYROXD2	PYROXD2	151	144	142	163	172	198
CNNM1	CNNM1	1	0	3	1	1	3
MXI1	MXI1	5917	5418	5435.99	1438	1495	1745
SMNDC1	SMNDC1	1578	1338	1444	1426	1480	1689
C10orf88	C10orf88	633	472	481	461	474	613
HELLS	HELLS	2281	2084	2234	2689	2579	3487
PRLHR	PRLHR	0	0	0	0	0	0
TCTN3	TCTN3	1204	1094	1129	1557	1590	1900
DENND10	FAM45A	1012	819	895	941	863	1279.99
AVPI1	AVPI1	1068	1067	901	423	429	571
WDR11	WDR11	2719.89	2570	2755.62	2979	3115	3549
KCNIP2	KCNIP2	15	29	31	15	23	10
CFAP58	CCDC147	11	12	4	7	7	6
GOT1	GOT1	1570	1230	1342	1455	1269	1556
CPN1	CPN1	0	0	0	0	0	0
C10orf95	C10orf95	7.46	1.05	5.24	8.78	5.12	4.2
SFRP5	SFRP5	0	0	1	0	1	4
GNA13	GNA13	5895	5096	4499	4146	4526	5336
HOXB8	HOXB8	45	35	60	1100	1089	1180
KANSL1	KANSL1	1953	1913	1717	1280	1581	1683
HOXB5	HOXB5	23	16	35	734	641	717
CRHR1	CRHR1	5.34	8.55	9.71	8.5	8.65	9.81
HOXB3	HOXB3	194.83	195.1	214.17	2675.52	3175.17	3006.55
HOXB1	HOXB1	0	0	0	0	0	0
DUSP1	DUSP1	1892	1226	929	470	460	478
PANK3	PANK3	7192	5378	5675	3985	4591	5690
MSX2	MSX2	4	1	1	43	43	31
TEK	TEK	18	18	24	37	20	37
RCL1	RCL1	311	280	276	308	272	359
CAAP1	C9orf82	1890	1522	1754	2230	2208	2760
EQTN	C9orf11	0	0	0	0	0	0
MOB3B	MOB3B	3	4	5	242	300	313
INSL6	INSL6	0	0	0	0	0	0
INSL4	INSL4	0	0	0	1	0	0
MLANA	MLANA	7	2	3	7	5	14
CD274	CD274	215	165	157	306	359	362
IFNA6	IFNA6	0	0	0	0	0	0
IFNA8	IFNA8	0	0	0	0	1	2
GRIA2	GRIA2	0	0	1	1	0	0
NUP43	NUP43	1702	1463	1631	1784	1849	2089
MTHFD1L	MTHFD1L	1478	1212	1380	1065	1085	1270
LRP11	LRP11	809.82	686.97	713.95	990.91	951	1179.9
CCDC170	C6orf97	3	0	2	9	26	19
PCMT1	PCMT1	3477	2877	2995	3325	3155	3934
PLEKHG1	PLEKHG1	33	31	28	100	120	144
MYCT1	MYCT1	2	0	0	0	0	0
TASL	CXorf21	0	0	0	0	0	0
MAGEB4	MAGEB4	0	0	0	0	0	0
CYSTM1	CYSTM1	1172	930	973	1061	1073	1249
WDR55	WDR55	1328.83	1220.53	1170.77	1244.93	1203.91	1317.98
ARAP3	ARAP3	848	781	932	998	1064	1108
PCDHB8	PCDHB8	8	6	3	0	0	2
PCDHB10	PCDHB10	1	3	0	4	2	4
PCDHB14	PCDHB14	14	6	13	9	17	12
PCDHB12	PCDHB12	1	2	3	0	0	0
SLC25A2	SLC25A2	2	1	3	0	0	0
TNN	TNN	0	0	0	0	0	0
MRPS14	MRPS14	956	941	909	1138	1113	1293
CENPL	CENPL	526	383	459	509	532	656
TNFSF18	TNFSF18	0	2	0	17	13	20
SEC16B		77.49	96.16	63.79	35.15	47.07	74.51
GORAB	GORAB	344	302	349	383	384	467
GPR31	GPR31	0	0	0	1	0	0
ACAT2	ACAT2	6560.82	5118.68	5647	6293.16	6241.8	7620.92
TCP1	TCP1	4956.52	3987.13	4485.96	5488.56	5376.09	6495.88
TTLL2	TTLL2	0	0	0	0	0	0
SNX19	SNX19	2552	1907	2678	2870	3043	3739
KCNJ5	KCNJ5	87	112	102	46	49	51
TP53AIP1	TP53AIP1	21	20	22	14	10	6
TEX11	TEX11	0	0	0	0	0	0
ARR3	ARR3	0	0	0	0	0	0
PDZD11	PDZD11	1236	1026	1020	1331	1260	1526
SLC10A7	SLC10A7	277	286	277	313	318	357
NUDCD1	NUDCD1	1388	1069	1266	1391	1347	1801
ENY2	ENY2	1840	1739.37	1623	2630	2512	2976
MASTL	MASTL	2182.07	1830.51	1665.29	2193.34	2213.54	2711.5
KIAA1217	KIAA1217	1205	1100	1170	1378	1658	2079
SEPTIN7P9	SEPT7L	3	5	3	1	1	1
LYZL1	LYZL1	0	0	0	0	0	0
PLXDC2	PLXDC2	514	448	574	6	2	1
EPC1	EPC1	2134.74	1898.72	1538.93	1300.38	1393	1482
IQSEC3	IQSEC3	1	1	2	0	1	0
CCDC77	CCDC77	697	552	570	679	689	853
TAF12	TAF12	565	434	541	551	572	694
ENOX1	ENOX1	21	12	16	26	17	12
TNFSF11	TNFSF11	0	0	0	0	0	0
MTRF1	MTRF1	237	257	271	248	240	289
SPART-AS1	SPG20OS	5	4	1	5	6	4
SOHLH2	SOHLH2	9	11.54	12.99	55.89	59.71	60.01
DNAJC15	DNAJC15	537	436	469	400	343	436
PROSER1	PROSER1	926	746	942	1032	1166	1405
UFM1	UFM1	3176	2735	2839	2573	2648	2996
WBP4	WBP4	804	660	712.67	935.37	925	1167.65
ELF1	ELF1	4422	3977	3888.33	3581.63	3604	4290.35
SMAD9	SMAD9	2069	2059	1702	235	231	254
HSPH1	HSPH1	3353	1883	2999	3831	3796	4942
KBTBD7	KBTBD7	278	285	254	567	637	775
ALG5	ALG5	886	814	799	1233	1045	1411
EXOSC8	EXOSC8	1538.67	1649.01	1511.1	1474.5	1398.42	1668.36
ETF1	ETF1	4816	3564	4473	4361	4698	5413.64
TGFBI	TGFBI	18897	17925	16687	1307	1289	1366
FAM53C	FAM53C	2529	2604	1876	2264.98	2390	2462.99
SIL1	SIL1	636	566	583	804	750	891
PAIP2	PAIP2	3785.27	3372.63	3301.57	3616.89	3558.52	4299.28
MYOT	MYOT	2	3	3	1.02	1	2
KDM3B	KDM3B	3388	3052	3088	3205	3425	4148
EGR1	EGR1	2522	2420	1811	2676	2956	2949
SERP1	SERP1	2648	2047.14	2293	3558.17	3418	4011
PLS1	PLS1	1930	1598	1598	1506	1631	1962
ZFP30	ZFP30	421	311	408	690	648.53	743
NR2C1	NR2C1	1114	1183	1227	1155	1126	1329
UTP20	UTP20	926	809	909	793	961	1303
TMPO	TMPO	8660.62	6477.5	7678.68	12903.77	13004.93	16161.17
ARL1	ARL1	4116	3294	3601	4017	3844	4784
GLT8D2	GLT8D2	627	629	562	357	384	468
MTERF2	MTERFD3	298.01	279.48	303.94	444.34	450.36	439.97
SOCS2	SOCS2	235	234	212	55	56	61
NFYB	NFYB	1523	1177	1293	1993	1938	2362
WASHC3	CCDC53	978	904	814	924	807	1064
APAF1	APAF1	2740	2223.99	2223.42	1888	2174	2874
DUSP4	DUSP4	113	88	136	642	633	678
CLU	CLU	11235	10783	10011	8617	8804.99	9834.84
TNFRSF10B	TNFRSF10B	9224.01	8710.01	8337	8856	9578	9981.9
SORBS3	SORBS3	990	973	860	1626	1506.01	1693
PTK2B	PTK2B	178	176	213	336	362	391
CHRNA2	CHRNA2	0	0	0	0	0	0
ADRA1A	ADRA1A	0	0	0	0	0	0
PPP3CC	PPP3CC	470.71	373.83	354.93	457.77	404.73	464.72
PDLIM2	PDLIM2	346.38	297.58	315.17	731.14	645.94	740.75
EPHX2	EPHX2	41	53	35	1	2	10
RNF170	RNF170	663	566	608	1033	1004	1152
NPPB	NPPB	27	39	26	0	0	0
UBIAD1	UBIAD1	546	383	482	509	533	627
TARDBP	TARDBP	5421	4757	5980	7537	7722	8784
TNFRSF8	TNFRSF8	2	2	3	3	1	2
PRAMEF2	PRAMEF2	0	0	0	0	0	0
ZNF706	ZNF706	967	799	878	1088	1057	1286
LYPLA1	LYPLA1	2503	1664	2271	2577	2810	3297
CRISPLD1	CRISPLD1	446	341	395	25	29	26
COPS5	COPS5	2014	1973	2081	2112	1891	2365
RDH10	RDH10	699	510	658.93	2407	2392.89	2888.92
EPX	EPX	0	0	0	2	0	0
AKAP1	AKAP1	1569	1407	1455	1148	1215	1351
COIL	COIL	1252	1116	1048	1159	1326	1502
TRIM25	TRIM25	2813	2578	2515	5316	6278.43	7263
SCPEP1	SCPEP1	1514	1349	1381	1695	1669	1947
SPOP	SPOP	2196	1922	1755	2013	1910	2309
TBX2	TBX2	5	3	9	37	49	49
SLC35B1	SLC35B1	607	559	544	759	729	898
TBX4	TBX4	0	0	0	2	0	0
NACA3P	NACA3P	2	9	8	0	0	1
TEX14	TEX14	5	5	16	3	4	6
FAM117A	FAM117A	398.02	375.05	331	320.03	375	399.01
NCAPH	NCAPH	1278	1063	1083	1475	1460	1705
LRAT	LRAT	46	48	32	0	0	0
TMEM131L	KIAA0922	219	219	228	297	269	386
MND1	MND1	409	388	315	496	374	451
TRIM6	TRIM6	566	445.46	514	202.58	181	213
ABCC11	ABCC11	12.61	5.22	4.15	10.33	3.1	4.07
TENT4B	PAPD5	1611	1104	1112	1557	1525	1951
ADCY7	ADCY7	988.08	905.74	821.73	878.29	982.98	1039.76
CEP89	CEP89	698	643	601	748	823	872
TSHZ3	TSHZ3	17	8	15	61	64	70
ECHDC2	ECHDC2	978	1306	1028	1361	1288	1327
TAS2R8	TAS2R8	0	1	0	0	0	0
PLBD1	PLBD1	23	16	19	53	56	50
TAS2R10	TAS2R10	1	7	1	3	3	6
PRB2	PRB2	0	1	0	0	0	0
PYROXD1	PYROXD1	322.3	301.22	269.96	349.84	384.9	438.61
IAPP	IAPP	0	0	0	0	0	0
KCNJ8	KCNJ8	0	0	1	0	0	0
TAS2R7	TAS2R7	0	0	0	0	0	0
BCL2L14	BCL2L14	0	2	0	0	0	0
TAS2R9	TAS2R9	0	0	0	0	0	0
PSPC1	PSPC1	1288	1013	1264	1648	1648	1919
ZNF549	ZNF549	466.55	416.01	407	592.71	579	782
A1BG	A1BG	9.5	13	3	30.88	27.28	26.95
ZSCAN18	ZSCAN18	883.18	988.01	831.32	908	859	929
ZNF211	ZNF211	382	342	386	498	521	612
PDZRN3	PDZRN3	0	0	0	0	0	2
RGSL1	RGSL1	0	0	0	0	0	1
LHX4	LHX4	18.66	33.6	20.92	34.72	48.2	30.8
RNF2	RNF2	1664	1174	1310	1133	1144	1327
TRMT1L	TRMT1L	840	628	737	1254	1371	1639
SEC22A	SEC22A	936	774	742	884.56	896	1060
CSTA	CSTA	0	0	1	0	0	0
DPPA4	DPPA4	0	0	0	0	0	0
POPDC2	POPDC2	8	7	3	16	11	27
B4GALT4	B4GALT4	913	805	868	1037	1022	1281
NAA50	NAA50	6313	4974	5697	6641	6464	8531.17
CD80	CD80	0	0	0	0	0	0
KIF18A	KIF18A	1253	1089	1008	1279	1261	1671
GJA8	GJA8	0	0	0	0	0	0
DESI2	PPPDE1	5083	4089	4382.04	3736	3847	4525
MAPK8IP1	MAPK8IP1	17	16	29	62	48	76
CRY2	CRY2	500	516	346	360	378	385
PEX16	PEX16	217	180	185	204	234	243
DEPDC7	DEPDC7	666	525	514	468	424	587
CAT	CAT	2385	2269	2242	2676	2685	3190
PILRB	PILRB	1078.99	1544.71	1424.69	1048.74	1086.47	1011.37
ZMYM2	ZMYM2	6119	6268	5979	4671	5154	6019
GJB6	GJB6	1	1	0	21	14	30
GJA3	GJA3	20	20	21	2	6	5
TBC1D15	TBC1D15	3782	3376	3133	3195	3093	3809
ADGRB2	BAI2	374	351	391	565	523	517
HCRTR1	HCRTR1	0	1	0	2	0	0
ZCCHC17	ZCCHC17	1611	1352	1238	1398	1354	1603
FABP3	FABP3	99	90	61	2	2	2
KHDRBS1	KHDRBS1	7826	7026	6525	7794	7853	9450
TMEM39B	TMEM39B	412	409	373	312	349	356
CCRL2	CCRL2	2	1	0	0	0	0
CCR2	CCR2	1	0	1	0	0	1
POLR3GL	POLR3GL	901	740	713	877	854	1097
GHSR	GHSR	0	0	0	0	0	0
TNFSF10	TNFSF10	526	464	465	4065.11	4141	5289
ZNF639	ZNF639	1360	1048	1151	1155	1096	1372
SLITRK3	SLITRK3	31	39	54	0	1	0
PIK3CA	PIK3CA	1740.96	1322.88	1424	1136	1263	1604.05
PDS5A	PDS5A	5434	4311	5099	5493	5710	7100
TMEM156	TMEM156	0	0	0	0	0	0
LIAS	LIAS	247	200	240	273	287	337
CPXM2	CPXM2	0	0	1	0	0	1
ZSCAN20	ZSCAN20	201	163	183	203	238	230
CSMD2	CSMD2	1	0	0	0	0	0
HPCA	HPCA	68.12	80.35	64.09	17.01	15.02	11
LRIF1	LRIF1	1184.43	1070.93	841.88	1085.06	1158.61	1408.52
TMIGD3	ADORA3	1	0	0	2	0	0
CLCC1	CLCC1	1139.04	1013.64	945.23	1223.13	1287.17	1527.29
GPSM2	GPSM2	1474.96	1201.36	1116.77	1940.86	1941.82	2256.71
GTDC1	GTDC1	1287	1138	992	749	827	898
CXCR4	CXCR4	1851	1703	1298	499	494	506
ZRANB3	ZRANB3	438	465	438	480	505	611
ACVR2A	ACVR2A	409.15	275.03	251.37	422.31	376.7	500.27
POLK	POLK	913.14	698.97	707	1429.49	1606.34	1969.4
SV2C	SV2C	61	87	59	1	0	0
FLT3	FLT3	0	0	0	0	0	0
RPL21	RPL21	13613.77	11756.68	11268.13	11445.43	10525.46	12738.54
MTIF3	MTIF3	643.65	635.9	672	726.68	615.88	780.62
GTF3A	GTF3A	1783.35	1329.1	1556.01	1508.32	1356.12	1637.38
RASL11A	RASL11A	6	6	4	7	6	7
UBL3	UBL3	1464	1159	1246	1544	1710	1913
LINC00544		0	0	0	0	0	0
FYTTD1	FYTTD1	3938	2795	3587	3365	3675	4225.83
MTERF4	MTERFD2	918.44	938.77	814.78	1024.45	996.37	1185.8
XPNPEP2	XPNPEP2	4	2	0	0	0	0
SASH3	SASH3	0	1	0	0	0	0
OCRL	OCRL	2505	2088	2212	1987	2152	2468
PAEP	PAEP	6	1	1	0	0	0
OBP2A	OBP2A	0	0	0	0	0	0
TBX22	TBX22	0	0	0	0	0	0
FMOD	FMOD	3417	3121	2896	2072	2161	2364
MYOG	MYOG	0	0	0	0	1	0
LAX1	LAX1	1	1	0	0	1	0
PLG	PLG	0	0	0	0	0	0
KIAA1191	KIAA1191	7293	7054	5568	4280	4276	4811
COPA	COPA	6948	6378	6170	6167	6783	7746
CD244	CD244	0	0	0	0	0	0
LY9	LY9	0	0	1	0	0	0
HS3ST2	HS3ST2	0	0	0	0	0	0
RBBP6	RBBP6	3093	2723	2388	2954.96	3178	3824
ZC3H7A	ZC3H7A	2254	2173	2274	2427	2795	3128
PRM2	PRM2	0	0	0	0	0	0
SERAC1	SERAC1	640	510	625	543	588	655
ANXA11	ANXA11	2311	2045	2162	3770	3632	4048
LDB3	LDB3	9	0	1	2	0	0
OPN4	OPN4	0	0	0	0	0	0
SHLD2	FAM35A	1572.36	1313.22	1492.09	1895.11	1769.8	2105.64
PRXL2A	FAM213A	3385	2944.87	2770	3023	3116	3616
ZNF205	ZNF205	325.93	300.97	232.97	255.94	224.98	282.98
NAA60	NAA60	946.46	652.84	786.85	746.75	945.66	1143.86
RPL5	RPL5	20759	18276	18415	14513	13765	15778.99
ODF2L	ODF2L	761	673	751	692	832	880
PTGFR	PTGFR	38	46	34	123	132	179
SPATA1	SPATA1	2	7.02	7.01	5	6	1
TRMT13	CCDC76	415.97	450.7	478.83	477.96	547.88	694.98
LRRC39	LRRC39	5.03	18.3	10.17	8.04	5.12	2.02
RWDD3	RWDD3	451.96	364.49	389.68	394.81	452.96	568.51
ZNF644	ZNF644	2872	2183	2215	2291	2441	2991
CCDC18	CCDC18	405.96	435.61	494.45	568.51	659.78	840.08
RPAP2	RPAP2	637	563	567	684	822	966
SLC66A2	PQLC1	537	466	469	814	715	842
BBS9	BBS9	677	561	543	519	484	619
PMS2	PMS2	475	429	390	578	600	658
ZMIZ2	ZMIZ2	1797	2350	1749	1501	1683	1522
OCM	OCM	0	1	0	0	1	0
SEPTIN7	7-Sep	9259	8034	7842.03	8320	8389.01	9696
EEPD1	EEPD1	227	195	178	142	164	144
KIAA0087	KIAA0087	0	0	0	0	0	0
KLHL7	KLHL7	1389	1142	1129	1226	1209	1514
HERPUD2	HERPUD2	724	491	484	737	821	870
CBX3	CBX3	9458.09	7491.93	8556.87	10672.94	10014.18	12606.92
HNRNPA2B1	HNRNPA2B1	35001.15	32420.07	37136.04	49447.06	49689.5	57498.08
WIPF3	WIPF3	1	2	7	4	6	3
NXPH1	NXPH1	0	0	0	0	0	0
NPY	NPY	0	0	0	2	2	0
FAM126A	FAM126A	2901	2341	2747	2392	2636	3011
INHBA	INHBA	884	765	686	139	156	179
FKBP9	FKBP9	3713.99	3278	3193.98	3727.99	4024	4276
NT5C3A	NT5C3	810	730	741	1118	1261	1635
ARL4A	ARL4A	452	356	385	442	420	517
CCZ1	CCZ1	617.14	495.7	562.45	257.65	261.65	283.65
POLM	POLM	214	248	227	249	205	235
RAMP3	RAMP3	1	1	0	1	0	0
MRM2	FTSJ2	976	724	781	1170	1210	1428
TWIST1	TWIST1	6	6	7	196	169	220
SMU1	SMU1	2651	2391	2155	3021	3209	3598
GLIPR2	GLIPR2	338	325	370	720	652	766
SLC25A51	MCART1	257	204	200	221	257	243
CLTA	CLTA	4065	3485	3546	4539	4097	5048
RECK	RECK	459	367	362	669	684	784
SPINK4	SPINK4	0	0	0	0	0	0
TAF1L	TAF1L	0	1	0	0.5	1	1.5
ACO1	ACO1	3198	2679	2908	3100	3396	3771
PHF24	KIAA1045	18	17	5	2	6	4
DNAI1	DNAI1	1	3	1	0	1	0
DCAF10	DCAF10	2370	2040	2073	1723	2098	2409
CNTFR	CNTFR	0	7	1	1	0	0
KIAA1549	KIAA1549	349	277	382	762	889	1045
TRIM24	TRIM24	578	478	487	645	615	716
CALD1	CALD1	26902.07	23152.99	22088	10480	11058	13583
AKR1D1	AKR1D1	0	0	1	0	0	0
NUDT10	NUDT10	0	1	0	1	0	2
SFTPA1	SFTPA1	0	0	0	0	0	0
NEUROG3	NEUROG3	0	0	0	0	0	0
PLAU	PLAU	3382.46	3044.31	3120.31	4205.03	4227.55	4916.61
SRGN	SRGN	24	27	23	7026	6776	8374
CHST3	CHST3	1734.77	1299	1482	2854	3026	3397
BICC1	BICC1	5871	5495	5995	4336	4639	5353
ARL4AP1	ARL4P	0	0	0	0	0	0
CISD1	CISD1	1021	805	1045	1281	1223	1600
EGR2	EGR2	24	34	22	27	25	31
ECD	ECD	1376	1260	1273	1175	1101	1378
P4HA1	P4HA1	16219	15454	11819	9601	9714	10999
SLC25A16	SLC25A16	1145	855	1027	693	779	896
ZWINT	ZWINT	4181	3992	3633	4635	4500	5281
VPS26A	VPS26A	5588	4684	5055	5558	5640	6593
RBM19	RBM19	1019	961	929	820	813	808
CIT	CIT	1535	1427	1424	1360	1648	1827
IFT81	IFT81	1424	1278	1328	1529	1733	1965
ACADS	ACADS	323	319	298	346	261	319
HVCN1	HVCN1	6.38	8	9	4.44	7	5
NME2P1	NME2P1	8	3	5	3	4	9
DDX54	DDX54	1152	876.44	1067	1299.36	1162.59	1356.72
MED13L	MED13L	3135	2925	3178.97	1895	2057	2710
CDKN2C	CDKN2C	5406	4637	4771	4041	3696	4711.88
RNF11	RNF11	7095.28	5748	5794	6295	6143	7418
RASSF8	RASSF8	2117	1476	1674	1626	1656	1997
SSPN	SSPN	950	876	838.15	434	517.82	499.22
ITPR2	ITPR2	920	807	872	630	810	1132
CCDC91	CCDC91	1093	903	1137	1022	947	1209
NECAB1	NECAB1	372.59	288.72	250.77	315.23	297.41	389.49
WWP1	WWP1	1746.97	1432.85	1497.68	1700	1844	2134
ACOT9	ACOT9	995	738	959	1385	1304	1630
PRDX4	PRDX4	2545	2169	2012	2832	2337	2836
DDX39A	DDX39A	1941	1883	1839	1668	1602	1871
PKN1	PKN1	2327	2008	1788	1849	1775	2005
TRIR	C19orf43	1600	1457	1326	1715	1484	1804
ADGRE5	CD97	349	301	333	658	703	726
WDR83	WDR83	184.04	183.14	157.08	177.11	147.74	186.98
GIPC1	GIPC1	1752	1244	1626	2164	1841	2422
ACTRT1	ACTRT1	0	0	0	0	0	0
CCDC70	CCDC70	0	0	0	0	0	0
SPRYD7	SPRYD7	855	800	728	475	525	568
EBPL	EBPL	334	316	291	400	397	424
ATP7B	ATP7B	155	146	132	70	84	101
ZC3H13	ZC3H13	2344	1949	1932	2199	2591.53	3209
GUCY1B2	GUCY1B2	0	0	0	0	1	2
NLN	NLN	1037	868	957	870	819	1025
CENPK	CENPK	1437	1157	1274	1605	1477	1737
OPTN	OPTN	6529	6019	5316	5422	5865	7105.97
ITIH5	ITIH5	1614	1579	1455	377	401	481
ATF1	ATF1	1426	1016	1198	1510	1593	1973
TSFM	TSFM	560.3	560.44	622.61	846.61	786.49	989.82
NEUROD4	NEUROD4	0	0	0	0	0	0
ARHGAP9	ARHGAP9	15	21	10	6	3	6
NCKAP1L	NCKAP1L	0	1	2	0	2	1
MMP19	MMP19	208.61	211.12	160.48	280.08	275.29	313.84
PFDN5	PFDN5	4900	4419	4323	3783	3635	4527
SPATS2	SPATS2	2163	2098	2111	1691	1632	1938
ORMDL2	ORMDL2	777.71	704.14	802.97	989.45	886.36	1071.26
NR4A1	NR4A1	471.62	474.42	394.1	26.66	51.81	30
PDE1B	PDE1B	131	129	131	0	0	1
HOXC13	HOXC13	1	3	2	1	5	10
CDK2	CDK2	3955	3469	3518.46	3939.48	3835.21	4354
LRP1	LRP1	8226	8590	7564	2431	3556	4437
HOXC11	HOXC11	138	95	120	160	159	140
ATG101	C12orf44	1292	1059.65	1156.32	876	835.85	1041
NFE2	NFE2	8	9	5	29	20	28
HOXC12	HOXC12	0	0	0	0	0	0
IKZF4	IKZF4	296	277	242	269	275	330
SMUG1	SMUG1	328	341	345	424	404	498
TUBA1B	TUBA1B	33914.66	30706.83	29750.69	50487.1	48279.24	57496.39
EEF1AKMT3	METTL21B	782.34	932.97	637.83	317.82	329.11	387.78
KBTBD4	KBTBD4	838.58	851.16	747.31	1054.69	1089.52	1213.82
TYRL	TYRL	0	0	0	0	0	0
SARDH	SARDH	80	88	53	14	18	17
DBH	DBH	5	4	10	2	0	3
ATPAF1	ATPAF1	2080.81	1701.78	1712.91	2213.93	2162.87	2710.84
STIL	STIL	1279	1034	1021	1543	1694	1909
HJURP	HJURP	1231	1092	1036	1603	1537	1674
IL13RA2	IL13RA2	0	0	0	0	2	0
COL10A1	COL10A1	11	17	17	3	2	6
AMD1	AMD1	2613	1855	2535	4061	4189	5394
NDUFAF4	NDUFAF4	283	229	246	413	331	446
USP45	USP45	591	409	560	444	427	469
PLP1	PLP1	0	0	2	0	0	0
SERPINA7	SERPINA7	0	0	0	0	0	0
MORF4L2	MORF4L2	9090	8068	7801	9783	9803	11308
H2BW1	H2BFWT	0	0	0	0	0	0
RAB9B	RAB9B	250	230	260	62	90	107
NRK	NRK	685	609	711	3	3	2
FAM199X	FAM199X	6100	4854	5441	4002	4501	5442
ESX1	ESX1	0	0	0	0	0	0
MAGEA9	MAGEA9B	0	0	0	0	0	0
ATXN3L	ATXN3L	0	0	0	0	0	0
RAB9A	RAB9A	1527	1425	1337	967	980	1078
METTL8	METTL8	346	305	346	390	365	467
TTC21B	TTC21B	1000	965.99	859	751	830	997.34
NMI	NMI	655	518	723	2054	2024	2753
TNFAIP6	TNFAIP6	6	4	5	26	18	38
ACVR1C	ACVR1C	8	6	11	11	19	23
BAZ2B	BAZ2B	2457.31	2226.81	2412.01	1366.2	1622.12	1971.91
SLC36A1	SLC36A1	808	689	718	421	476	521
LPGAT1	LPGAT1	2813	2074	2382	2760	2919	3550
BATF3	BATF3	3	8	15	5	5	9
G0S2	G0S2	110	92	125	27	11	14
KCNJ2	KCNJ2	29	20	28	172	169	196
RAP2C	RAP2C	1612	1146	1477	1763	1865	2144
EXOSC9	EXOSC9	1785.86	1834.51	1654.18	1953.76	1840.63	2147.21
PLA2G12A	PLA2G12A	1622	1441	1426	1021	1119	1248
B9D2	B9D2	122	105	98	117	113	157
COQ8B	ADCK4	615	578	544	676	647	665
PFKFB2	PFKFB2	993	686	960	698	709	866.01
C4BPA	C4BPA	0	0	0	2	2	2
C4BPB	C4BPB	0	1	0	9	4	7
ZNF137P	ZNF137P	63	49	54	90	137	135
RAB38	RAB38	891	737	724	854	801	967
GPR83	GPR83	6	3	3	0	3	4
AGO2	EIF2C2	423	356	408	258	378	429
MXD4	MXD4	1283	1197	1385	2031	1954	2264
PMS2P5	PMS2P5	55.13	45	50.5	46.68	38.45	77.57
CKS2	CKS2	3866	2912	2715	3624	3289	3931
DAW1	WDR69	15	3	5	6	5	4
ACSL3	ACSL3	4526	3208	4032	5936	6018	7430.76
CHPF	CHPF	919	833	745	1032	997	1186
DNPEP	DNPEP	1231	1306	1029	1315	1399	1614
INHA	INHA	4	10	3	10	19	11
MOGAT1	MOGAT1	0	0	0	0	1	0
OBSL1	OBSL1	1278	1446.37	1130	2275.18	2118.17	2288.42
FAM124B	FAM124B	0	0	0	1	0	1
SLC12A4	SLC12A4	5568.79	5625.35	5321	3570.36	3635.51	3732.94
ENKD1	C16orf48	566.26	539.1	519.33	918	802.41	1003.14
MC3R	MC3R	0	0	0	0	0	0
GCNT7	GCNT7	0	0	0	1	0	0
CTCFL	CTCFL	0	0	0	0	0	0
HMGB1P1	HMGB1P1	2	0	0	4	3	14
FAM210B	FAM210B	1515	1202	1409	1408	1400	1597
PI3	PI3	0	0	0	0	0	0
FAM209A	FAM209A	1	0	1.03	0	0	0
SNX21	SNX21	299.05	272.96	265.36	416.28	402.27	472.09
SLPI	SLPI	11	9	7	12	12	15
WFDC3	WFDC3	34	37	32	6	4	10
TTPAL	TTPAL	868	647	884	1142	1274	1474
PREX1	PREX1	118	92	112	642	676	677
KCNS1	KCNS1	6	2	2	22	28	26
SLC12A5	SLC12A5	0	1	1	0	0	0
ARHGAP40	ARHGAP40	76	92	72	243	261	206
SDC4	SDC4	11136	9840	9764	13919	14484	16178
NCOA3	NCOA3	1529	1291	1363	1610	1872	2154
PIGT	PIGT	3725	3305	3207	4094	4057	4449
SEMG2	SEMG2	0	0	0	0	0	0
MATN4	MATN4	0	3	1	3	6	4
NCOA5	NCOA5	765	648	749	1262	1242	1443
VAPB	VAPB	2999	2605	2913.28	3253	3460	3855
PARD6B	PARD6B	649	524	543	570	559	608
ATP5F1E	ATP5E	3403.98	2933	3029.99	4447.96	4191.9	5168.98
CHD6	CHD6	2162	2235	1991	2045	2722.47	3033
PLCG1	PLCG1	3870	3828	3629	3568	3678	4067
TOX2	TOX2	1	1	2	518	516	567
SRSF6	SRSF6	6230	7152	6200	7388	7546	8251
GDAP1L1	GDAP1L1	0	0	0	0	0	0
GTSF1L	GTSF1L	0	0	0	0	0	0
ARFGEF2	ARFGEF2	3251	2758	2969	2730	3181	3737
ZNFX1	ZNFX1	1903	1517	1592	4281	5226	6175.01
ZNF831	ZNF831	0	0	0	0	0	0
EDN3	EDN3	0	0	0	0	0	0
CSE1L	CSE1L	6113	5178	5707	7797	7645	9469
PEDS1-UBE2V1	TMEM189-UBE2V1	8.87	4.4	4.03	0	4.94	9.52
