NAME	Description	mir130_1	Control_1	mir130_2	Control_2	mir130_3	Control_3
HIST1H4A	ENSG00000196176.7	18	19	5	10	14	24
HIST1H4B	ENSG00000124529.3	40	33	25	20	43	81
HIST1H3B	ENSG00000124693.2	30	58	15	52	22	52
HIST1H2AB	ENSG00000137259.2	41	50	25	29	24	31
HIST1H2BB	ENSG00000196226.2	85	92	11	34	398	495
U91328.2	ENSG00000234816.2	7	6	3	6	2	9
HIST1H3C	ENSG00000196532.4	47	50	34	33	32	40
HIST1H1C	ENSG00000187837.2	203	242	120	253	127	200
HFE	ENSG00000010704.14	41	30	32	46	17	42
HIST1H4C	ENSG00000197061.3	2881	3011	1701	2538	1635	1152
HIST1H2BC	ENSG00000180596.7	228	211	177	150	573	402
HIST1H2AC	ENSG00000180573.8	457	348	265	443	800	979
HIST1H1E	ENSG00000168298.4	210	159	54	158	39	62
HIST1H2BD	ENSG00000158373.7	49	66	53	80	67	123
LARP1P1	ENSG00000217159.2	0	0	2	3	2	3
HIST1H2BE	ENSG00000197697.3	3	9	8	0	3	2
HIST1H4D	ENSG00000188987.2	27	63	33	37	110	83
HIST1H1PS1	ENSG00000216331.1	2	5	4	4	4	5
HIST1H3D	ENSG00000197409.6	71	97	37	49	65	187
HIST1H2AD	ENSG00000196866.2	0	0	0	2	0	0
HIST1H2BF	ENSG00000197846.3	41	83	37	100	36	67
RP1-34B20.4	ENSG00000217275.2	3	14	4	10	4	26
HIST1H4E	ENSG00000198518.5	169	186	84	168	225	288
HIST1H2BG	ENSG00000187990.4	78	111	45	90	82	158
HIST1H2AE	ENSG00000168274.3	52	81	41	65	42	80
HIST1H3E	ENSG00000196966.3	7	10	13	20	2	4
HIST1H2APS3	ENSG00000218281.1	2	2	7	1	6	1
HIST1H1D	ENSG00000124575.5	237	217	70	159	22	56
HIST1H4F	ENSG00000198327.3	26	33	5	5	36	42
HIST1H3F	ENSG00000256316.1	38	65	20	29	18	15
HIST1H2BH	ENSG00000197459.2	335	460	201	259	135	163
HIST1H3G	ENSG00000256018.1	54	53	26	37	66	65
HIST1H2APS4	ENSG00000218690.1	24	51	33	69	54	56
HIST1H2BI	ENSG00000168242.3	4	5	8	5	4	6
HIST1H4H	ENSG00000158406.2	37	65	52	52	113	134
HIST1H3PS1	ENSG00000220875.1	37	39	34	43	77	36
BTN3A2	ENSG00000186470.9	1770	1728	1093	1412	1435	2005
AL021917.1	ENSG00000215979.1	4	2	1	3	0	1
BTN2A2	ENSG00000124508.12	466	586	366	573	170	348
BTN3A1	ENSG00000026950.12	644	805	485	797	552	838
BTN2A3P	ENSG00000124549.10	83	99	65	71	22	68
BTN3A3	ENSG00000111801.11	594	645	389	581	376	550
BTN2A1	ENSG00000112763.11	480	792	469	865	340	635
BTN1A1	ENSG00000124557.8	6	1	4	0	0	0
HCG11	ENSG00000228223.1	440	454	775	904	640	872
CTA-14H9.5	ENSG00000261353.1	21	16	13	36	24	35
HMGN4	ENSG00000182952.4	4205	3794	2990	3665	4375	3996
ABT1	ENSG00000146109.3	6341	5815	6360	5000	6625	7355
VN1R14P	ENSG00000218346.1	0	0	1	0	0	0
RP11-457M11.2	ENSG00000233631.2	9	8	12	19	17	9
ZNF322	ENSG00000181315.6	339	403	393	490	436	385
RP11-457M11.5	ENSG00000261584.1	44	33	32	31	31	22
GUSBP2	ENSG00000241549.4	118	148	62	116	45	80
RP11-239L20.3	ENSG00000243307.2	2	7	5	10	2	4
LINC00240	ENSG00000224843.2	9	13	12	12	23	21
RP11-239L20.6	ENSG00000272312.1	1	0	0	0	0	0
VN1R12P	ENSG00000220581.1	1	0	0	0	0	3
RP1-86C11.7	ENSG00000272468.1	0	4	1	4	0	3
HIST1H2BJ	ENSG00000124635.7	32	51	46	45	23	20
HIST1H2AG	ENSG00000196787.2	327	309	222	311	226	263
HIST1H2BK	ENSG00000197903.6	188	294	333	406	294	272
HIST1H4I	ENSG00000198339.3	43	44	32	55	7	39
HIST1H2AH	ENSG00000184825.4	73	68	16	40	38	32
MIR3143	ENSG00000265565.1	0	6	0	1	0	1
PRSS16	ENSG00000112812.11	1	0	0	0	1	0
POM121L2	ENSG00000158553.3	0	0	0	1	0	0
ZNF204P	ENSG00000204789.3	44	59	112	43	232	160
ZNF391	ENSG00000124613.4	241	339	400	433	421	419
RP1-153G14.4	ENSG00000271755.1	17	2	1	10	1	28
MCFD2P1	ENSG00000237154.1	24	10	6	13	14	31
ZNF184	ENSG00000096654.11	1462	1505	1836	2142	2504	1956
XXbac-BPGBPG34I8.1	ENSG00000270666.1	0	0	0	1	0	0
RP1-15D7.1	ENSG00000216676.2	0	2	0	2	1	0
RP1-97D16.1	ENSG00000216915.2	3	21	18	19	44	11
RSL24D1P1	ENSG00000218069.2	0	1	6	2	8	8
HIST1H4PS1	ENSG00000217862.2	15	9	9	7	3	9
HIST1H2BL	ENSG00000185130.4	65	55	41	58	26	33
HIST1H2AI	ENSG00000196747.3	33	84	56	86	97	112
HIST1H3H	ENSG00000203813.4	159	121	155	140	174	226
HIST1H2AJ	ENSG00000182611.3	48	55	67	100	102	73
HIST1H2BM	ENSG00000196374.5	19	14	6	26	9	9
HIST1H4J	ENSG00000197238.3	42	45	24	40	31	29
HIST1H4K	ENSG00000197914.2	25	39	13	31	19	31
HIST1H2AK	ENSG00000184348.2	22	36	34	34	45	72
HIST1H2BN	ENSG00000233822.3	106	221	248	262	197	325
HIST1H2BPS2	ENSG00000217646.1	33	14	7	6	20	11
HIST1H2AL	ENSG00000198374.3	181	165	67	111	85	57
HIST1H1B	ENSG00000184357.3	217	238	67	170	26	48
HIST1H3I	ENSG00000182572.2	7	8	9	3	7	9
HIST1H4L	ENSG00000198558.2	4	13	0	3	17	21
HIST1H3J	ENSG00000197153.3	11	15	8	25	4	6
HIST1H2AM	ENSG00000233224.1	8	26	14	11	11	41
HIST1H2BO	ENSG00000196331.5	4	10	6	14	1	3
RNU7-26P	ENSG00000238610.1	0	1	0	0	0	0
OR2W6P	ENSG00000168126.3	1	1	5	5	0	0
OR2B6	ENSG00000124657.1	0	0	1	0	1	0
IQCB2P	ENSG00000217539.2	8	8	8	11	19	12
OR2B8P	ENSG00000182477.5	0	0	0	1	6	0
RP1-313I6.12	ENSG00000272009.1	145	148	94	89	181	145
ZNF165	ENSG00000197279.3	448	250	294	235	512	287
ZSCAN12P1	ENSG00000219891.2	26	42	32	47	57	51
RP1-265C24.5	ENSG00000219392.1	6	17	13	26	45	23
ZSCAN16-AS1	ENSG00000269293.2	340	456	270	415	346	362
ZSCAN16	ENSG00000196812.4	471	307	348	372	426	232
RP1-265C24.8	ENSG00000261839.1	3	2	5	10	2	15
ZKSCAN8	ENSG00000198315.6	453	736	1067	1565	1127	1055
ZNF192P1	ENSG00000226314.3	59	69	83	120	184	170
AL022393.7	ENSG00000216901.1	5	2	5	6	13	2
TOB2P1	ENSG00000176933.4	45	36	10	21	21	15
ZSCAN9	ENSG00000137185.7	885	694	641	905	692	639
ZKSCAN4	ENSG00000187626.7	439	640	591	734	883	648
NKAPL	ENSG00000189134.3	34	21	16	17	21	21
RP5-874C20.3	ENSG00000197062.7	2072	2189	1813	1723	4188	3748
PGBD1	ENSG00000137338.4	1143	1046	952	1049	919	792
RP5-874C20.6	ENSG00000270326.1	0	0	2	0	2	1
ZSCAN31	ENSG00000235109.3	399	544	505	590	602	803
ZKSCAN3	ENSG00000189298.9	515	733	579	869	435	533
ZSCAN12	ENSG00000158691.10	762	872	731	1105	895	803
ZSCAN23	ENSG00000187987.5	22	25	15	29	27	26
COX11P1	ENSG00000231162.3	2	4	9	9	8	9
SCAND3	ENSG00000232040.2	0	0	3	1	8	0
NOL5BP	ENSG00000235559.1	78	109	82	69	33	38
AL662890.3	ENSG00000265764.1	0	0	1	0	0	0
XXbac-BPG308K3.5	ENSG00000225173.1	7	4	2	6	5	7
XXbac-BPG308K3.6	ENSG00000225595.2	0	1	0	4	3	0
HCG14	ENSG00000224157.1	12	11	6	6	33	14
TRIM27	ENSG00000204713.6	8225	7918	6847	8487	2338	4125
C6orf100	ENSG00000204709.4	1	3	0	1	6	5
KRT18P1	ENSG00000228666.1	1	3	1	0	2	2
RN7SL471P	ENSG00000263426.1	6	3	0	2	4	8
HCG15	ENSG00000227214.2	3	1	0	1	0	3
HCG16	ENSG00000244349.1	2	2	1	2	4	1
ZNF311	ENSG00000197935.6	168	124	80	137	203	158
OR2AD1P	ENSG00000223677.1	0	0	0	0	0	1
OR2P1P	ENSG00000236909.1	0	0	0	4	0	0
SAR1P1	ENSG00000228364.1	4	0	0	1	1	2
OR2N1P	ENSG00000203492.3	0	0	0	0	0	1
OR2J4P	ENSG00000224233.1	2	0	0	0	0	0
OR2H4P	ENSG00000230598.1	0	0	0	1	0	0
OR2G1P	ENSG00000213911.2	0	0	0	0	4	0
OR2H1	ENSG00000204688.5	1	0	0	0	0	0
MAS1LP1	ENSG00000230164.1	4	3	8	6	9	0
MAS1L	ENSG00000204687.3	2	2	9	23	10	8
RPS17P1	ENSG00000213900.2	0	4	9	7	9	7
XXbac-BPG13B8.10	ENSG00000229274.1	1	2	8	6	4	6
OR2I1P	ENSG00000237988.2	0	0	5	0	3	0
GABBR1	ENSG00000204681.6	411	350	207	286	212	352
TMEM183AP1	ENSG00000227609.2	0	0	0	0	4	0
OR2H2	ENSG00000204657.2	0	0	2	1	0	3
SUMO2P1	ENSG00000235238.1	66	45	52	71	65	51
MOG	ENSG00000204655.7	19	7	2	2	1	0
ZFP57	ENSG00000204644.5	1193	924	406	429	188	231
ZDHHC20P1	ENSG00000233916.1	3	1	1	1	0	5
HLA-F	ENSG00000204642.9	312	302	69	54	58	164
HLA-F-AS1	ENSG00000214922.5	26	7	5	11	20	37
MICE	ENSG00000273340.1	5	1	4	2	6	10
HCG9P5	ENSG00000227758.1	0	0	1	0	0	0
IFITM4P	ENSG00000235821.1	0	0	0	2	0	0
XXbac-BPG170G13.32	ENSG00000272236.1	0	0	1	2	0	0
XXbac-BPG170G13.31	ENSG00000270896.1	5	3	0	8	0	2
HLA-V	ENSG00000181126.9	3	2	0	0	8	3
HCG4	ENSG00000176998.3	0	2	1	0	1	6
HLA-G	ENSG00000204632.7	26	29	8	12	13	21
MICF	ENSG00000233265.1	3	1	0	2	0	0
HCG4P7	ENSG00000230521.1	3	6	1	1	0	3
HLA-H	ENSG00000206341.6	305	410	96	150	25	84
HLA-T	ENSG00000231130.1	0	0	2	4	0	3
MCCD1P1	ENSG00000235963.1	1	0	0	0	0	0
HCG4B	ENSG00000227262.3	0	2	0	3	1	1
HLA-K	ENSG00000230795.2	32	51	29	70	79	125
HLA-U	ENSG00000228078.1	1	0	0	0	1	2
HLA-A	ENSG00000206503.7	8660	11187	3785	6871	1967	4444
HLA-W	ENSG00000235290.1	17	9	7	4	5	13
MICD	ENSG00000229390.1	10	20	0	4	7	33
HCG9	ENSG00000204625.6	2	6	2	4	1	1
DDX39BP2	ENSG00000238024.1	2	0	0	0	0	0
MCCD1P2	ENSG00000224312.1	0	1	1	0	0	0
ZNRD1-AS1	ENSG00000204623.4	136	191	270	282	295	256
HCG4P3	ENSG00000237669.1	8	6	1	7	3	3
HLA-J	ENSG00000204622.6	6	4	0	13	2	2
ETF1P1	ENSG00000232757.1	10	5	21	21	20	28
ZNRD1	ENSG00000066379.10	1025	1210	784	1329	706	867
PPP1R11	ENSG00000204619.3	4483	3981	3439	3769	3645	3537
RNF39	ENSG00000204618.4	4	5	5	6	0	2
TRIM31	ENSG00000204616.6	0	2	2	0	3	0
TRIM31-AS1	ENSG00000231226.1	1	0	0	0	1	0
TRIM40	ENSG00000204614.4	0	0	3	2	5	2
TRIM10	ENSG00000204613.6	11	9	1	4	2	12
TRIM15	ENSG00000204610.8	4	10	1	1	0	5
TRIM26	ENSG00000234127.4	599	807	713	1049	135	240
PAIP1P1	ENSG00000233892.1	7	10	6	4	1	9
HCG17	ENSG00000270604.1	7	3	6	14	4	1
TRIM26BP	ENSG00000236475.1	0	0	0	3	0	0
HLA-L	ENSG00000243753.1	94	124	25	41	55	77
HCG18	ENSG00000231074.4	1591	1917	1847	2183	1194	1765
TRIM39	ENSG00000204599.10	490	458	406	522	454	559
RPP21	ENSG00000241370.1	30	31	21	18	30	26
MICC	ENSG00000226577.1	1	0	0	0	2	1
SUCLA2P1	ENSG00000224936.1	41	33	49	23	84	69
RANP1	ENSG00000236603.1	232	215	349	268	475	318
HLA-E	ENSG00000204592.5	11151	12493	8297	7448	13864	20954
XXbac-BPG249D20.9	ENSG00000235781.1	6	2	10	4	10	10
GNL1	ENSG00000204590.8	1874	2427	2012	2605	189	1378
PRR3	ENSG00000204576.7	1263	1436	1644	1738	974	1231
ABCF1	ENSG00000204574.8	3118	3888	4201	4782	1272	2421
PPP1R10	ENSG00000204569.5	1272	2259	1614	3424	405	675
AL662800.1	ENSG00000222894.1	26	39	20	29	54	42
MRPS18B	ENSG00000204568.7	6475	7038	8329	6854	12922	11020
ATAT1	ENSG00000137343.13	491	457	329	498	286	331
PTMAP1	ENSG00000228415.2	0	1	2	2	0	2
C6orf136	ENSG00000204564.7	678	666	423	570	106	224
DHX16	ENSG00000204560.5	1837	2574	2458	2736	490	1488
PPP1R18	ENSG00000146112.7	3258	3215	1318	2092	614	1155
NRM	ENSG00000137404.10	986	1334	800	1393	353	593
RPL7P4	ENSG00000230449.1	4	1	11	5	0	1
MDC1	ENSG00000137337.10	719	1147	958	1353	345	554
TUBB	ENSG00000196230.8	19363	24321	23422	33585	8970	13673
XXbac-BPG252P9.9	ENSG00000272540.1	3	4	5	5	3	1
FLOT1	ENSG00000137312.10	7780	7995	5231	5573	5290	7742
Y_RNA	ENSG00000201988.2	0	2	1	0	0	0
XXbac-BPG252P9.10	ENSG00000272273.1	0	2	1	0	3	2
IER3	ENSG00000137331.11	35	36	11	11	37	51
HCG20	ENSG00000228022.1	0	0	0	0	1	2
LINC00243	ENSG00000214894.2	7	11	9	17	25	39
XXbac-BPG27H4.8	ENSG00000237923.1	0	0	0	0	1	0
DDR1	ENSG00000204580.7	44	17	1	13	0	6
GTF2H4	ENSG00000213780.6	0	0	2	0	0	0
VARS2	ENSG00000137411.12	1295	1745	741	1714	46	97
DPCR1	ENSG00000168631.7	0	0	1	0	0	0
HCG21	ENSG00000233529.1	0	0	0	1	0	0
PSORS1C1	ENSG00000204540.6	0	4	6	6	3	4
CCHCR1	ENSG00000204536.9	1025	1270	1218	1239	238	1041
TCF19	ENSG00000137310.7	2873	3432	2684	3701	447	934
POU5F1	ENSG00000204531.11	8	7	4	6	2	9
PSORS1C3	ENSG00000204528.3	0	0	0	5	2	0
XXbac-BPG299F13.17	ENSG00000272501.1	125	248	154	323	73	180
HCG27	ENSG00000206344.6	29	28	25	24	41	72
XXbac-BPG299F13.14	ENSG00000271821.1	0	1	1	1	5	8
HLA-C	ENSG00000204525.10	13334	14320	4598	6805	4130	7553
USP8P1	ENSG00000214892.4	5	8	6	5	12	19
RPL3P2	ENSG00000227939.1	277	433	462	383	495	613
HLA-B	ENSG00000234745.5	15826	17130	4927	8130	3766	7303
XXbac-BPG248L24.12	ENSG00000271581.1	1	2	0	1	0	1
DHFRP2	ENSG00000228432.1	0	0	0	0	1	0
ZDHHC20P2	ENSG00000223702.1	1	0	0	0	0	0
XXbac-BPG181B23.7	ENSG00000272221.1	149	145	109	118	103	87
HCP5	ENSG00000206337.6	702	871	99	205	66	87
Y_RNA	ENSG00000199332.1	0	1	0	2	0	0
MICA	ENSG00000204520.8	564	440	559	433	594	353
XXbac-BPG181B23.4	ENSG00000230174.1	0	0	0	0	0	2
MICB	ENSG00000204516.5	1010	1106	741	922	607	630
Y_RNA	ENSG00000201680.1	0	1	0	0	0	0
XXbac-BPG16N22.5	ENSG00000256851.1	0	0	0	0	2	0
PPIAP9	ENSG00000219797.2	4	1	1	8	2	2
RPL15P4	ENSG00000225499.1	0	1	0	0	0	0
DDX39B	ENSG00000198563.9	850	911	405	1054	156	316
SNORD117	ENSG00000201785.1	0	0	0	1	0	0
DDX39B-AS1	ENSG00000234006.1	1	4	1	1	2	4
ATP6V1G2	ENSG00000213760.6	27	38	27	26	59	134
NFKBIL1	ENSG00000204498.6	249	283	168	210	46	168
LTA	ENSG00000226979.4	11	11	5	1	4	0
TNF	ENSG00000232810.3	249	162	29	57	31	52
LTB	ENSG00000227507.2	1381	1319	535	383	683	431
LST1	ENSG00000204482.6	2205	2341	1244	1135	1968	1835
NCR3	ENSG00000204475.5	199	247	133	272	132	153
UQCRHP1	ENSG00000230622.1	5	1	5	6	21	7
AIF1	ENSG00000204472.8	12010	12745	6398	8771	14612	11841
PRRC2A	ENSG00000204469.8	1407	1643	474	1002	138	291
SNORA38	ENSG00000200816.1	0	0	2	3	0	0
BAG6	ENSG00000204463.8	1644	2516	820	2021	586	810
APOM	ENSG00000204444.6	125	133	129	157	124	142
C6orf47	ENSG00000204439.3	660	777	414	705	70	237
GPANK1	ENSG00000204438.6	943	1148	1109	1270	623	1118
CSNK2B	ENSG00000204435.9	708	724	684	728	829	667
LY6G5B	ENSG00000240053.8	17	32	23	34	1	13
LY6G5C	ENSG00000204428.8	535	352	227	219	195	257
ABHD16A	ENSG00000204427.7	78	56	74	33	21	52
MIR4646	ENSG00000266776.1	0	0	1	0	0	0
LY6G6F	ENSG00000204424.8	3	4	3	0	5	9
MEGT1	ENSG00000250641.1	3	5	3	0	2	2
LY6G6E	ENSG00000255552.3	7	1	1	3	0	4
LY6G6D	ENSG00000244355.3	2	0	0	0	0	1
C6orf25	ENSG00000204420.4	5364	5662	3036	3867	3596	5508
LY6G6C	ENSG00000204421.2	51	35	27	25	28	32
DDAH2	ENSG00000213722.4	5150	5245	2817	3637	1306	3252
CLIC1	ENSG00000213719.4	59425	52792	41505	38775	62691	56200
MSH5	ENSG00000204410.10	99	150	89	147	39	39
RNU6-850P	ENSG00000252743.1	7	9	9	12	2	7
SAPCD1	ENSG00000228727.4	34	36	29	49	12	61
VWA7	ENSG00000204396.6	19	38	13	25	8	4
VARS	ENSG00000204394.8	5878	9024	4159	10809	273	639
Y_RNA	ENSG00000201555.1	0	1	1	4	0	0
LSM2	ENSG00000204392.6	4463	4292	3362	4120	2681	2215
HSPA1L	ENSG00000204390.8	90	81	43	56	43	48
HSPA1A	ENSG00000204389.8	454	391	415	598	184	200
HSPA1B	ENSG00000204388.5	186	306	253	353	111	168
C6orf48	ENSG00000204387.8	2246	1682	1240	1783	1187	1144
NEU1	ENSG00000204386.6	3446	3392	2490	2826	1455	2517
SLC44A4	ENSG00000204385.6	32	41	24	24	17	20
EHMT2	ENSG00000204371.7	3064	4574	2629	4643	445	972
C2	ENSG00000166278.10	8	4	2	3	0	0
ZBTB12	ENSG00000204366.3	3	0	1	3	0	0
CFB	ENSG00000243649.4	1	1	0	5	0	0
NELFE	ENSG00000204356.7	5196	5291	4714	4633	5761	5867
SKIV2L	ENSG00000204351.7	892	1573	505	1458	74	212
DXO	ENSG00000204348.5	744	864	729	855	409	659
STK19	ENSG00000204344.10	369	410	342	343	372	424
C4A	ENSG00000244731.3	1	6	0	5	1	4
CYP21A1P	ENSG00000204338.4	0	0	0	0	1	0
TNXA	ENSG00000248290.1	2	1	0	0	0	0
STK19P	ENSG00000250535.1	2	0	7	7	5	14
C4B	ENSG00000224389.4	1	5	1	0	0	0
CYP21A2	ENSG00000231852.2	0	3	0	0	1	1
TNXB	ENSG00000168477.13	0	5	2	3	2	0
ATF6B	ENSG00000213676.6	1109	1233	666	890	448	1020
FKBPL	ENSG00000204315.3	230	302	228	312	200	283
PRRT1	ENSG00000204314.6	42	47	25	34	50	61
PPT2	ENSG00000221988.8	780	638	688	786	271	512
PPT2-EGFL8	ENSG00000258388.3	1	3	4	9	0	2
EGFL8	ENSG00000241404.2	7	5	2	15	2	1
AGPAT1	ENSG00000204310.6	892	740	498	720	204	388
RNF5	ENSG00000204308.6	8814	7699	5249	5198	9649	10808
AGER	ENSG00000204305.9	85	102	62	66	47	66
PBX2	ENSG00000204304.7	277	272	79	249	57	75
GPSM3	ENSG00000213654.5	2820	2500	690	1448	335	543
NOTCH4	ENSG00000204301.5	70	60	52	74	23	29
XXbac-BPG154L12.4	ENSG00000225914.1	10	15	13	11	2	20
C6orf10	ENSG00000204296.7	9	1	5	3	0	1
HNRNPA1P2	ENSG00000237285.1	8	7	7	3	4	11
RNU6-603P	ENSG00000223335.1	1	0	0	2	0	0
HCG23	ENSG00000228962.1	7	8	2	3	8	16
BTNL2	ENSG00000204290.6	0	0	0	1	0	2
HLA-DRA	ENSG00000204287.9	26289	28177	15946	22973	10710	12217
HLA-DRB9	ENSG00000196301.3	0	2	0	2	0	2
HLA-DRB5	ENSG00000198502.5	2859	3525	7006	6493	8287	9565
HLA-DRB6	ENSG00000229391.3	770	879	168	138	447	531
HLA-DRB1	ENSG00000196126.6	8611	11880	13800	14373	11364	15531
HLA-DQA1	ENSG00000196735.7	563	651	375	467	486	486
HLA-DQB1	ENSG00000179344.12	722	919	1129	912	1602	2480
HLA-DQB1-AS1	ENSG00000223534.1	2	6	4	1	2	19
XXbac-BPG254F23.7	ENSG00000232080.3	0	0	1	0	0	0
HLA-DQA2	ENSG00000237541.3	165	224	26	40	28	30
HLA-DQB2	ENSG00000232629.4	67	97	34	25	35	46
HLA-DOB	ENSG00000241106.2	13	10	11	9	9	11
TAP2	ENSG00000204267.9	288	306	259	276	118	154
PSMB8	ENSG00000204264.4	12006	10948	7192	7941	6259	6833
TAPSAR1	ENSG00000204261.4	2013	1541	748	791	1901	1503
PSMB9	ENSG00000240065.3	3366	3846	2559	2154	5954	4416
TAP1	ENSG00000168394.9	1616	1740	990	1204	100	816
PPP1R2P1	ENSG00000234515.1	2	0	3	1	4	2
HLA-Z	ENSG00000235301.1	1	2	2	2	7	7
HLA-DMB	ENSG00000242574.4	410	485	409	452	256	246
HLA-DMA	ENSG00000204257.10	7752	7816	5920	4687	10004	9455
BRD2	ENSG00000204256.8	3396	4180	3831	4651	1487	2367
HLA-DOA	ENSG00000204252.8	68	124	145	185	46	73
HLA-DPA1	ENSG00000231389.3	7561	8861	6124	7908	3191	5076
HLA-DPB1	ENSG00000223865.6	4144	4811	2659	2927	2838	3252
RPL32P1	ENSG00000224796.1	2	5	2	1	1	1
HLA-DPA2	ENSG00000231461.1	0	0	0	0	5	0
HLA-DPB2	ENSG00000224557.3	22	12	11	3	8	12
HLA-DPA3	ENSG00000237398.1	0	0	0	1	2	0
HCG24	ENSG00000230313.1	0	0	0	2	1	0
COL11A2	ENSG00000204248.6	12	3	2	8	4	1
RXRB	ENSG00000204231.6	776	794	309	569	83	243
RNY4P10	ENSG00000202441.1	6	4	3	4	2	5
SLC39A7	ENSG00000112473.12	634	827	1319	1042	342	761
HSD17B8	ENSG00000204228.3	1576	2134	1850	1664	2591	3266
RING1	ENSG00000204227.4	642	794	413	654	346	485
XXbac-BPG157A10.21	ENSG00000272217.1	6	11	4	5	5	4
HCG25	ENSG00000232940.1	34	16	17	23	14	27
VPS52	ENSG00000223501.4	1944	2218	1944	2063	592	1629
RPS18	ENSG00000231500.2	33404	38020	30086	38192	37964	38031
B3GALT4	ENSG00000235863.2	145	168	81	91	7	89
WDR46	ENSG00000227057.3	4862	5258	5940	5564	2410	4177
PFDN6	ENSG00000204220.5	811	1093	1397	1134	1478	1098
RGL2	ENSG00000237441.5	2412	2675	841	2041	304	499
TAPBP	ENSG00000231925.7	8060	12709	7413	10862	948	3673
ZBTB22	ENSG00000236104.2	202	277	77	210	18	87
DAXX	ENSG00000204209.6	8229	8366	6788	7339	3220	7307
MYL8P	ENSG00000229596.2	1	2	0	0	0	1
LYPLA2P1	ENSG00000228285.2	39	39	37	44	3	28
KIFC1	ENSG00000237649.3	5597	6172	6751	5911	2044	4529
RPL12P1	ENSG00000204194.1	1	1	0	0	0	1
PHF1	ENSG00000112511.13	416	474	249	454	117	179
CUTA	ENSG00000112514.11	8758	9718	9270	8909	9729	8815
SYNGAP1	ENSG00000197283.8	59	143	29	131	29	23
ZBTB9	ENSG00000213588.4	1377	1246	1394	1427	331	855
BAK1	ENSG00000030110.8	2830	2705	2038	2761	55	436
GGNBP1	ENSG00000204188.3	2	4	0	6	0	0
LINC00336	ENSG00000197251.3	0	0	0	1	0	0
ITPR3	ENSG00000096433.6	29	103	64	123	16	20
UQCC2	ENSG00000137288.5	6363	5657	4980	4362	8613	5056
IP6K3	ENSG00000161896.6	5	0	1	1	0	0
LEMD2	ENSG00000161904.7	1123	1536	1007	1504	82	235
RP3-468B3.2	ENSG00000233183.2	0	1	0	0	0	0
KRT18P9	ENSG00000271231.1	0	2	0	0	0	0
CYCSP55	ENSG00000214810.4	77	77	166	117	120	91
HMGA1	ENSG00000137309.15	19440	21030	10678	18855	1042	3693
C6orf1	ENSG00000186577.7	1123	1107	735	806	570	1024
RPL35P2	ENSG00000220583.1	203	194	199	146	389	204
NUDT3	ENSG00000272325.1	3178	2717	2479	2728	2668	2361
RPS10	ENSG00000124614.9	180	131	165	141	113	104
PACSIN1	ENSG00000124507.6	10	10	4	13	1	8
SPDEF	ENSG00000124664.6	1	0	0	0	0	0
RP3-391O22.3	ENSG00000196114.3	9	10	5	6	1	4
C6orf106	ENSG00000196821.5	1726	1813	1610	1448	566	961
RP3-391O22.2	ENSG00000216636.1	0	2	0	3	0	1
snoU13	ENSG00000239059.1	0	0	2	0	1	0
RN7SL200P	ENSG00000265123.1	2	6	6	8	0	4
RP3-391O22.1	ENSG00000220643.1	2	4	3	0	1	2
RP11-140K17.3	ENSG00000272288.1	67	116	71	103	204	171
RP3-375P9.2	ENSG00000217130.1	62	96	73	84	75	55
SNRPC	ENSG00000124562.5	15124	13496	16709	15210	23203	16508
UHRF1BP1	ENSG00000065060.12	672	841	1122	1393	918	821
Y_RNA	ENSG00000206717.1	0	1	0	0	0	0
TAF11	ENSG00000064995.12	2622	2269	1863	2127	1844	1854
ANKS1A	ENSG00000064999.12	415	779	571	889	159	339
RP11-527B17.2	ENSG00000187762.5	0	1	3	0	0	0
TCP11	ENSG00000124678.13	0	8	9	13	9	2
SCUBE3	ENSG00000146197.7	45	58	24	41	18	31
RP3-329A5.8	ENSG00000272374.1	51	103	17	45	36	61
ZNF76	ENSG00000065029.10	2219	2491	1501	2173	491	1141
RP3-329A5.1	ENSG00000217004.1	12	0	0	4	0	0
DEF6	ENSG00000023892.9	2016	2659	1973	2520	600	1792
PPARD	ENSG00000112033.9	581	668	210	374	175	216
MKRNP2	ENSG00000227154.2	1	0	1	0	0	0
FANCE	ENSG00000112039.3	1442	1398	999	1320	133	527
RPL10A	ENSG00000198755.6	12835	14488	16340	15525	20960	17573
TEAD3	ENSG00000007866.14	39	53	23	29	9	21
TULP1	ENSG00000112041.8	1	5	5	0	3	10
RP3-340B19.2	ENSG00000219023.1	133	170	91	147	80	75
FKBP5	ENSG00000096060.10	23260	26740	33363	26118	48224	32839
RP3-340B19.5	ENSG00000218749.1	3	3	3	7	1	1
SNORA40	ENSG00000212579.1	0	0	1	0	0	1
MIR5690	ENSG00000265527.1	12	2	12	14	10	0
RP3-510O8.4	ENSG00000232909.1	1	0	4	2	0	0
ARMC12	ENSG00000157343.4	29	44	16	27	52	60
CLPSL2	ENSG00000196748.5	0	6	1	2	1	0
SRPK1	ENSG00000096063.10	5657	6835	10459	11411	7132	6946
SLC26A8	ENSG00000112053.9	18	29	23	46	27	17
DPRXP2	ENSG00000271304.1	2	0	4	0	0	0
MAPK14	ENSG00000112062.6	9480	11906	11215	13950	6916	11882
RP1-179N16.3	ENSG00000237719.1	176	101	43	87	66	41
MAPK13	ENSG00000156711.12	14	15	8	14	11	45
Z95152.1	ENSG00000221743.1	0	0	0	0	0	1
